id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,city,neighbourhood_cleansed,has_price,price_capped,rental_type,price_tier
1503528945274992542,Pearl of the Cuyp | Modern Comfort in De Pijp,717346955,Dennis,De Pijp - Rivierenbuurt,52.35423,4.89525,Entire home/apt,423.0,2.0,0,,1,352,Amsterdam,,True,423.0,Short-term,Luxury
1198370867996181347,Cosy apartment Amsterdam West,55493008,Eric,De Baarsjes - Oud-West,52.371618,4.8503852,Entire home/apt,205.0,3.0,0,,1,158,Amsterdam,,True,205.0,Short-term,Mid-range
45662922,Prinsen Suites ||,369938358,Prinsen,Centrum-Oost,52.36371,4.88467,Private room,,1.0,16,0.38,4,0,Amsterdam,,False,,Short-term,Unknown
39194258,Luxury central Jordaan apartment with garden,300754328,Bart,Westerpark,52.37497,4.87294,Entire home/apt,,3.0,32,0.45,1,1,Amsterdam,,False,,Short-term,Unknown
1035363539277716441,Full studio,543396253,Saskia,Watergraafsmeer,52.34583405752454,4.91940267027283,Entire home/apt,110.0,8.0,4,0.33,1,90,Amsterdam,,True,110.0,Weekly+,Budget
627585110864296196,Lovely apartment Amsterdam,340475366,Monika,De Baarsjes - Oud-West,52.367264,4.87167,Entire home/apt,296.0,1.0,29,0.72,1,169,Amsterdam,,True,296.0,Short-term,Luxury
778825207268643875,Cozy Apartment Amsterdam,187701356,Karim,Osdorp,52.36296,4.8093,Entire home/apt,143.0,3.0,2,0.07,1,35,Amsterdam,,True,143.0,Short-term,Budget
1093563123501570178,Kleurrijk en licht appartement,23885056,Alexander And Erik,Bos en Lommer,52.381742567582975,4.855324101852427,Entire home/apt,133.0,3.0,4,0.23,1,3,Amsterdam,,True,133.0,Short-term,Budget
857685365569195452,100m2 apartment situated near RAI and Pijp area,507583960,Frida,De Pijp - Rivierenbuurt,52.34339,4.89134,Entire home/apt,,2.0,7,0.24,1,0,Amsterdam,,False,,Short-term,Unknown
723798960361498178,"Gezellig, licht en knus appartement in de Baarsjes",27600854,Fleur,De Baarsjes - Oud-West,52.36898,4.85375,Entire home/apt,248.0,2.0,3,0.09,1,365,Amsterdam,,True,248.0,Short-term,Mid-range
1424018428316522320,Duplex loft right in the center,175435699,Leander,Oostelijk Havengebied - Indische Buurt,52.3593,4.94091,Entire home/apt,163.0,4.0,3,1.38,1,259,Amsterdam,,True,163.0,Short-term,Budget
1423894053240492052,Spacious appartment 'de Pijp',7843658,Ellen,De Pijp - Rivierenbuurt,52.34951599999999,4.888102,Entire home/apt,228.0,4.0,4,2.67,1,9,Amsterdam,,True,228.0,Short-term,Mid-range
1321730052306419558,Safari Lodge Amsterdam 3,669257810,Arnoud,Geuzenveld - Slotermeer,52.38266,4.7848,Entire home/apt,154.0,1.0,0,,4,20,Amsterdam,,True,154.0,Short-term,Budget
2619648,"Spacious, light, family house in Amsterdam West!",10572608,Nirit,De Baarsjes - Oud-West,52.35972,4.85338,Entire home/apt,,4.0,4,0.03,1,0,Amsterdam,,False,,Short-term,Unknown
1251332113872789616,"Knus, warm en Prive familiehuis",6400178,Robbert,Bos en Lommer,52.37615,4.86174,Entire home/apt,,2.0,3,0.3,1,0,Amsterdam,,False,,Short-term,Unknown
27886,"Romantic, stylish B&B houseboat in canal district",97647,Flip,Centrum-West,52.38761,4.89188,Private room,132.0,3.0,311,1.87,1,17,Amsterdam,,True,132.0,Short-term,Budget
43388883,City centre apartment 2 on corner of two canals,19228755,Theodor Emil Adolf,Centrum-Oost,52.37253,4.90261,Private room,144.0,3.0,122,1.92,2,60,Amsterdam,,True,144.0,Short-term,Budget
1088353537205394473,Cozy apartment in Oud-West,71595651,Rebecca,De Baarsjes - Oud-West,52.36854192735991,4.872176830312346,Entire home/apt,,3.0,3,0.17,1,0,Amsterdam,,False,,Short-term,Unknown
1859255,Elegant royal room with private bathroom and bikes,9426449,Gabriel,Slotervaart,52.35896,4.81951,Private room,113.0,2.0,483,3.53,3,288,Amsterdam,,True,113.0,Short-term,Budget
20701838,Canal house apartment in famous Jordaan district,148185658,Monica Maria Petronella,Centrum-West,52.38001,4.88879,Entire home/apt,625.0,3.0,111,1.17,1,42,Amsterdam,,True,625.0,Short-term,Luxury
929496432312775414,Unique sfeervolle plek met terras in de Jordaan,19556955,Joeri,Centrum-West,52.38279,4.88572,Entire home/apt,428.0,1.0,30,1.14,1,172,Amsterdam,,True,428.0,Short-term,Luxury
912147047468804200,Cosy stylish  Apartment Amsterdam,519565147,Anthony,Westerpark,52.3750328,4.8740989,Entire home/apt,,2.0,4,0.16,1,0,Amsterdam,,False,,Short-term,Unknown
1295601995558711207,Luxe appartement ( 154 m2) met Dakterras in AMS,12605546,Evelie,Zuid,52.35092510592801,4.857404154655725,Entire home/apt,475.0,2.0,2,0.23,1,189,Amsterdam,,True,475.0,Short-term,Luxury
33823199,Cosy home 15 mins from vibrant city centre!,75965589,Tina,Oud-Noord,52.39246,4.9276,Private room,,3.0,23,0.3,1,0,Amsterdam,,False,,Short-term,Unknown
50369122,Cozy Apartment with King Bed and Balcony,59558791,Carolien,Westerpark,52.38166,4.86958,Entire home/apt,,2.0,32,0.67,1,0,Amsterdam,,False,,Short-term,Unknown
